name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,primaries,strokes,hook,index,kanji,kunyo,onyo
,,12,The avaricious Znapfians attended carefully to their 'piggy banks' - the 'water' provided to bathe the 'piggy bank' was often the only HOT WATER the family cared to boil!,585,湯,トウ,ゆ
,,6,"A pictograph of a SHEEP, with little animal 'horns', a head, front and back legs, and the tail.",586,羊,ヨウ,ひつじ
,,9,Try to think of what the Chinese were on to when they associated the idea of BEAUTY with 'large' 'sheep'.,587,美,ビ,うつく・しい
,,9,Think of all the poor 'sheep' tossed into the OCEAN as part of the live animal export business. No wonder it's known as 'water' of the 'sheep'.,588,洋,ヨウ,
,,13,"A truly DETAILED essay uses only the finest 'words', tightly woven together like the fleece of an unshorn 'sheep'.",589,詳,ショウ,くわ・しい
,,17,The Znapfian word for FRESH notes their two favourite foods: 'fish' and 'sheep'.,590,鮮,セン,あざ・やか
,,12,"An assassin pulls up by the side of the 'road', hauls the body of a 'sheep' out of the boot and heaps a bit of 'soil' over it - another expertly ACCOMPLISHED hit.",591,達,タツ,
,,13,"In dry conditions, every 'sheep' jealously watches over its own patch of 'water'. Think of how ENVIOUS a 'sheep' would be who merely stands over a 'water' 'lack' - an empty puddle.",592,羨,セン,うらや・ましい　　うらや・む
,,10,"In colonial Australia, nothing brought DISTINCTION to a man like proper 'wool' 'craft', i.e. the art of the shearer. (And 'wool' is a sheep with an extra stroke, as the tail is pulled to one side for shearing.)",593,差,サ,さ・す
,,12,To DON one's clothes is to pull the 'wool' over your 'eyes'.,594,着,チャク　　ジャクr,き・る　　き・せる　　つ・く　　つ・ける
,,11,"In the lead up to the holiday season, the best trimmings are SOLELY for the 'mouth' of the 'turkey' - since, in time, the 'turkey' will be SOLELY for the 'mouth' of its owners!",595,唯,ユイ　　イr,
,,11,"To inter a 'turkey', one must ensure the 'soil' is PILED HIGH.",596,堆,タイ,
,,12,"Imagine maturing some Wild 'Turkey' in the wood of the SWEET OAK 'tree' for the sweetest, smoothest rye imaginable.",597,椎,ツイ,
,,15,The 'word' of the 'turkey' is not gobble gobble but rather WHO.,598,誰,,だれ
,,12,Turkey' over an 'oven fire' is made to lightly CHAR. Delicious!,599,焦,ショウ,こ・げる　　こ・がす　　こ・がれる　　あせ・る
,,17,"In the future, the word REEF will not be associated with colour and life but only 'charred' 'rocks'.",600,礁,ショウ,
,,12,The 'turkeys' GATHER in a 'tree' to devise their revenge.,601,集,シュウ,あつ・まる　　あつ・める　　つど・う
,,10,"If hot 'turkey' makes a real Christmas lunch, 'iced' 'turkey' would make at best a QUASI- feast.",602,准,ジュン,
,,11,"Having devised their revenge, the 'turkeys' hit the 'road' in their remorseless ADVANCE upon humanity.",603,進,シン,すす・む　　すす・める
,,14,"The kanji for MISCELLANEOUS depicts an appropriately ad hoc mix: 'baseballs', 'trees', and 'turkeys' are all on display.",604,雑,ザツ　　ゾウ,
,,14,The FEMALE 'turkey' can be identified by its 'spoon' -shaped 'footprints.,605,雌,シ,めす　　め
,,13,"In the SEMI- finals of the 'water' 'turkey' competition, aspirants compete in the gruelling 'ten' -yard freestyle, which few 'turkeys' ever complete.",606,準,ジュン,
,,16,"In the popular Znapfian peasant dish, a 'St. Bernard dog', a 'turkey', and some 'brains' are all STIRRED UP.",607,奮,フン,ふる・う
,,14,"Ancient Znap was plagued by thieving 'turkeys', who would sneak beneath the 'St. Bernard dog' on guard and 'glue' it down, allowing them to ROB the master with impunity.",608,奪,ダツ,うば・う
,,15,"When you build your 'turkey coop' on a 'rock', you have ASSURANCE that it will not fall down. As ASSURED as a 'rock' 'turkey coop', my mother always said. (And a 'turkey coop' is a 'turkey' 'house', with the head of the turkey combined with the chimney of the house!)",609,確,カク,たし・か　　たし・かめる
,,4,This pictograph of a *horse indicates NOON in the Chinese zodiac.,610,午,ゴ,
,,11,To receive a PERMIT for something is to be given a 'word' 'horse' - a 'declaration' of a right which empowers you just as a 'horse' empowers a rider.,611,許,キョ,ゆる・す
,,15,"Remember Disney's Fantasia? In one scene, the 'flying horses' 'yawn' and pair off for the night - a portrait of DELIGHT. (And a 'flying horse' is a 'horse' crossed with a 'turkey', with the tail of the first and the head of the latter are combined into one stroke.)",612,歓,カン,
,,15,"The local AUTHORITY in my part of town is a 'pegasus' perched in a 'tree', which we've found to be an improvement over conventional council government.",613,権,ケン　　ゴンr,
,,18,"Who's OUTLOOK could be further afield than that of the 'pegasus', who 'sees' all from on high?",614,観,カン,
,,6,A pictograph of two bird *wings yields FEATHERS.,615,羽,ウ,は　　はね
,,11,"If you wish to LEARN, uses the 'feathers' of a 'white bird' for your quill: everything you jot down will magically enter your memory.",616,習,シュウ,なら・う
,,11,Hygienic birds put their 'feathers' in a 'vase' before bed so that they are in prime condition for THE FOLLOWING day.,617,翌,ヨク,
,,18,"On a stressful WEEKDAY, busy 'turkeys' are wont to ruffle each others' 'feathers', hence the moniker 'day' of 'feathering' 'turkeys'.",618,曜,ヨウ,
,,17,Imagine 'turkeys' doing their LAUNDRY - 'watering' their 'feathers' at the end of a hard day.,619,濯,タク,
,,4,"Distingished from 'day' by its size, SAYETH refers to famous sayings by famous people and is the origin of the primitive 'tongue wagging in mouth'.",620,曰,,いわ・く
,,7,"Imagine a 'tree' all 'pent in', finding itself in a QUANDARY.",621,困,コン,こま・る
,,8,"When carbon gets 'old' and 'pent in', it can HARDEN (into diamonds!)",622,固,コ,かた・い　　かた・まる　　かた・める
,,16,To WELD two things together is to join them with a special 'metal' that 'hardens' when it cools.,623,錮,コ,
,,8,"What is a COUNTRY but a way to 'pent in' all a people's 'jewels' to protect them from outsiders? Just imagine Australia and its rich wealth in 'jewels', all 'pent in' by the sea to safeguard them.",624,国,コク,くに
,,6,A taxonomic GROUP is a bunch of critters 'glued' to a backing board and all 'pent in' a box.,625,団,ダン　　トンr,
,,6,"The CAUSE of the mysterious knocked-over bins in your neighbourhood is a boisterous 'St Bernard dog', who is now 'pent in' to prevent a recurrence. Imagine how sad he is to be the CAUSE of so much distress.",626,因,イン,よ・る
,,9,"In regressive societies, the harmonious state of MATRIMONY is a 'woman's' 'cause', much to the men's chagrin.",627,姻,イン,
,,9,"Ultimately it is the WINDPIPE that is the 'cause' of everything that comes out of your 'mouth'; likewise, the 'mouth's' primary 'cause' is to fill your WINDPIPE so you don't suffocate.",628,咽,イン,
,,13,"Imagine going to a dreary PARK in Hokkaido where everyone is 'pent in' by fences, huddled around a 'lidded crock' for a hot lunch, and wearing 'scarves' to fight the cold.",629,園,エン,その
,,6,How many -TIMES must you tell your annoying little brother to 'pent in' his 'mouth'?,630,回,カイ　　エr,まわ・す　　まわ・る
,,16,"Lincoln in his iconic 'top hat' steps up to the PODIUM on the hallowed 'soil' of Gettysburg and says ""four-score '-times' ago..."" commemorating the 'nightbreak' of American democracy.",631,壇,ダン　タンr,
,,8,The first STORES were nothing but 'fortune tellers' in 'caves' selling useless trinkets (and a 'cave' is a 'cliff' 'house').,632,店,テン,みせ
,,10,The very first WAREHOUSE in Japan was a 'cave' by the harbour filled to the brim with 'cars'.,633,庫,コ　　クr,
,,10,The first COURTYARD was no doubt a 'court' out the front of a 'cave'.,634,庭,テイ,にわ
,,5,"In the cavernous 'caves' that are GOVERNMENT OFFICES, troglodytic bureaucrats sign forms in triplicate and impale them on document 'spikes'.",635,庁,チョウ,
,,7,"The first BED was a 'tree' dragged into a 'cave' - an improvement upon sleeping on the stone floor, but only just.",636,床,ショウ,とこ　　ゆか
,,11,"To hide one's HEMP plantation, it's best to put your 'grove' of marijuana plants in a 'cave' where no-one will think to look for them.",637,麻,マ,あさ
,,16,"To GRIND a mix for a joint, use a 'hemp' 'stone'.",638,磨,マ,みが・く
,,4,"A pictographic representation of a HEART - see the curved valve and drops of blood? As a primitive: when beneath, the physical organ of the *heart; when to the left and abbreviated to three strokes, an emotional *state of mind; when beneath, where the top dot falls to the right side, it means *valentine.",639,心,シン,こころ
,,7,Perish' my 'heart' if I should ever FORGET you.,640,忘,ボウ,わす・れる
,,10,To be SELFISH is to be without the 'second' 'heart' that makes empathy possible.,641,恣,シ,
,,7,To ENDURE is to feel the 'blade' in your 'heart' without flinching. This kanji is better felt than imagined.,642,忍,ニン,しの・ぶ　　しの・ばせる
,,14,"When you ACKNOWLEDGE something someone tells you, you affirm that their 'words' will 'endure' with you.",643,認,ニン,みと・める
,,7,"Cleopatra's MOURNING for Antony was so severe, she had a 'snake' applied to stop her 'heart'.",644,忌,キ,い・む　　い・まわしい
,,7,The 'heart' of the 'samurai' always perceives the INTENTION of a foe - and reacts accordingly.,645,志,シ,こころざし　　こころざ・す
,,14,The first DOCUMENTS bore the 'words' signifying the 'intention' of one's daimyo - which had best be heeded if one is to avoid trouble...,646,誌,シ,
,,7,"Imagine taking a 'flower', stripping it down to its aromatic 'heart', and making a fragrant WICK out of it - delightful.",647,芯,シン,
,,8,To have LOYALTY is to keep another's interests right 'in' the middle of one's 'heart'.,648,忠,チュウ,
,,7,A pictograph of two rectangular slabs of meat on a skewer.,649,串,,くし
,,11,"To be AFFLICTED by, say, romantic jealousy, is to have a 'shish kebab' thrust through your 'heart' - a feeling we have surely all known at one time or other.",650,患,カン,わずら・う
,,9,"To THINK is not merely to use one's 'brains', but also one's 'heart' whenever deciding things. Remember this wisdom and you will remember the kanji at the same time as making yourself a better person.",651,思,シ,おも・う
,,10,Divine GRACE is supposed to be the foremost natural 'cause' to which the 'heart' can aspire.,652,恩,オン,
,,7,"The word APPLY here refers to something that fills a particular need, like a 'heart' filling the empty 'cave' of your soul with love. Just imagine the hollowness of the 'cave' inside before the 'heart' APPLIES itself to you.",653,応,オウ,こた・える
,,13,A great IDEA is the 'sound' of the 'heart'. Imagine listening to the 'sound' of your 'heart' for crazy new inventions.,654,意,イ,
,,17,COWARDICE is always the best 'idea' the 'flesh' can offer to any particular problem. Imagine consulting the quorum of your organs during a crisis and feeling the quivering of your 'flesh' as it provides its winning 'idea' - to run as fast as possible.,655,臆,オク,
,,13,"The CONCEPT of, say, a 'tree', exists somewhere between the 'eye' which sees it and the 'heart' which turns that impression into feeling. Imagine Plato pondering such things as he looks upon a 'tree', feeling its form pass through the 'eye' and into the 'heart' which remembers a more perfect world.",656,想,ソウ　　ソr,
,,10,"BREATH is the nourishing fluid that enters via the 'nose' and ends up in the 'heart', where it gets distributed all over the body as blood.",657,息,ソク,いき
,,16,"During school RECESS, your 'tongue' tastes food, your 'nose' smells the daffodils, and your 'heart' beats for that certain someone who's fast becoming your first love.",658,憩,ケイ,いこ・い　　いこ・う
,,10,"Before Isaac could marry his fiance, her father demanded he do him the FAVOUR of attending his 'ten' 'fields' - a labour he did with all his 'heart'.",659,恵,エ　　ケイ,めぐ・む
,,10,Drifting along in a 'mediocre' 'craft' is sure to get the 'heart' racing with FEAR.,660,恐,キョウ,おそ・れる　　おそ・ろしい
,,12,"Picture your 'mouth' hitting the 'floor' at a 'fiesta', coupled with the symbol for the 'heart': someone has clearly come along to BEGUILE you.",661,惑,ワク,まど・う
,,13,"During a populist revolt, for example, a 'march' of 'mouths' speaking out their 'heart' can be a potent force for shaping raw EMOTION into political power.",662,感,カン,
,,15,"Picture that classic image of MELANCHOLY, La Pieta: the 'head' of Christ, still wearing the thorny 'crown' (which is embedded, hence the omission of one stroke from the kanji), is balanced on the 'walking legs' of Mother Mary, whose 'heart' naturally weeps for her son.",663,憂,ユウ,う・い　　うれ・い　　うれ・える
,,14,"The 'head' of the 'house' is done in with a 'dagger', leaving a suspiciously cheerful WIDOW in his wake.",664,寡,カ,
,,6,Being overly BUSY is sure to make your 'state of mind' 'perish'.,665,忙,ボウ,いそが・しい
,,10,To be in ECSTASY is to have one's 'state of mind' overrun by the 'devil'.,666,悦,エツ,
,,9,To have CONSTANCY is to see one's 'state of mind' remain consistent across a 'span' of time (the 'sun' rising above one horizon and sinking below another).,667,恒,コウ,
,,11,To LAMENT is to be in a most 'eminent' 'state of mind' - one that can make sense of all the woes of the human condition.,668,悼,トウ,いた・む
,,10,Some Indians believe the 'state of mind' that is ENLIGHTENMENT can be brought on by covering the 'five' 'mouths' of the body (and hence obliterating that feculent creature known to each of us as 'I').,669,悟,ゴ,さと・る
,,8,What could be more DREADFUL than to be stuck in a 'linen' 'state of mind' from overworking oneself with the laundry?,670,怖,フ,こわ・い
,,12,To be DISCONCERTED is to have one's 'state of mind' 'laid waste' by some appalling phenomenon.,671,慌,コウ,あわ・てる　　あわ・ただしい
,,9,Having one's 'mama' perpetually 'by one's side' is sure to one in a 'state of mind' of forever having to REPENT for everything.,672,悔,カイ,く・いる　　くや・しい　　く・やむ
,,14,The Sith teach that nothing 'increases' your 'state of mind' more than the powerful emotion called HATE.,673,憎,ゾウ,にく・む　　にく・い　　にく・しみ　　にく・らしい
,,14,A thing one has become ACCUSTOMED to is a thing that has 'pierced' your 'state of mind' beyond the depth where it can be safely removed.,674,慣,カン,な・れる　　な・らす
,,12,"The 'meeting of butchers' returns, and their 'state of mind' is one of shameless PLEASURE as the chop and chop away at everything.",675,愉,ユ,
,,12,"The 'state of mind' characterising the creative 'left' is vulnerable to the persuasion of the 'flesh', which can bring on that trait conservatives loathe the most: to be LAZY.",676,惰,ダ,
,,13,The 'truest' 'state of mind' is the state of HUMILITY - so teaches the Buddha.,677,慎,シン,つつし・む
,,16,To feel REMORSE is to be in a 'state of mind' afflicted by lingering 'emotion' about what you did.,678,憾,カン,
,,16,"In order to cultivate a strong RECOLLECTION of something, it's best to get into a 'state of mind' which centralises 'ideas' - you will eventually find the 'idea' you are looking for in such a state.",679,憶,オク,
,,11,Nothing is more DISQUIETING than to have one's 'state of mind' perturbed by inconsiderate use of 'tools' by people who are often 'tools' themselves.,680,惧,グ,
,,15,The 'state of mind' of every 'juvenile' person is to perpetually YEARN for what you cannot yet have - ironically at the very same time their seniors YEARN to reacquire a 'juvenile' 'state of mind'!,681,憧,ショウ,あこが・れる
,,15,How often do you find yourself in a 'state of mind' where you HANKER for the 'scenery' of tropical Samoa?,682,憬,ケイ,
,,14,"In the 'graveyard', someone is PINING for their lost 'valentine', snatched away before love could blossom.",683,慕,ボ,した・う
,,11,Legend tells of a 'water' 'witch' who ANNEXED her 'valentine's' lagoon after an all-too-domestic dispute.,684,添,テン,そ・える　　そ・う
,,5,It is INVARIABLY true that the 'heart' of a person is divided into two halves.,685,必,ヒツ,かなら・ず
,,8,Water' left to pool beneath the drying rack 'invariably' turns into OOZE.,686,泌,ヒツ　　ヒ,
,,4,"A pictograph of a HAND, albeit one with six fingers.",687,手,シュ,て　　たr
,,9,"When you WATCH OVER something from afar, you raise your 'hand' to shield your 'eyes'.",688,看,カン,
,,15,"When you handle a lot of 'hemp' (rope), your 'hand' is bound to get CHAFED.",689,摩,マ,
,,7,"A 'fiesta' of 'hands' raised in salute is the picture of the EGO of one man, the supreme leader. The two characters share a stroke, symbolising the raising of hands in unison. Also be sure to drop the vertical stroke of 'hand' before adding the last finger when using the kanji like this.",690,我,ガ,われ　　わ
,,13,The Christian way to RIGHTEOUSNESS is to cultivate the 'ego' of a 'sheep'.,691,義,ギ,
,,20,The famed DELIBERATION of Solomon always culminated in 'words' of 'righteousness'.,692,議,ギ,
,,17,"In India, the SACRIFICE one's own life for a 'cow' is the pinnacle of 'righteousness'.",693,犠,ギ,
,,8,Get feeling back into the 'extremities' of your 'fingers' - your fingertips - you must RUB them together. (note - 'finger' is derived from 'hand' but is missing one horizontal stroke),694,抹,マツ,
,,9,"Imagine applying makeup, but instead of putting it on, you use your 'fingers' to WIPE off all the pigment that doesn't satisfy your 'style'.",695,拭,ショク,ぬぐ・う　　ふ・く
,,8,"A kid is searching for cookies in a flower 'vase' (mistaking it for a jar, one supposes). When spotted by a parent, that kid must YANK their 'finger' out quick!",696,拉,ラ,
,,8,A human's first EMBRACE is when 'fingers' 'wrap' around their little bodies.,697,抱,ホウ,だ・く　　いだ・く　　かか・える
,,12,"Picture coming ABOARD the Titanic; your loved one tearfully offers you 'flowers', causing your 'fingers' to briefly 'fit together' for what will prove to be the last time.",698,搭,トウ,
,,7,Use your 'fingers' to squeeze a few 'little drops' of valuable vanilla EXTRACT.,699,抄,ショウ,
,,7,A karate master CONFRONTS his lifelong adversary with a 'whirlwind' of 'fingers'.,700,抗,コウ,
,,7,Contestants at a beauty pageant feel unfair CRITICISM when the judge uses her 'fingers' to 'compare' some or other aspect of their bodies.,701,批,ヒ,
,,8,To BECKON is to waggle your 'fingers' in a 'seductive' manner.,702,招,ショウ,まね・く
,,8,"To CLEAR THE LAND, one must laboriously carry away every 'rock' with one's 'fingers'.",703,拓,タク,
,,8,"If the opera is good enough, CLAP until your 'fingers' are 'white'.",704,拍,ハク　　ヒョウr,
,,5,"Gangs of New York prefer to STRIKE with the aid of 'finger' 'spikes', AKA knuckledusters.",705,打,ダ,う・つ
,,8,"When the police ARREST you, they stay you with a gesture of the 'fingers' and utter the constitutionally mandated 'phrase' ""You have the right...""",706,拘,コウ,
,,11,"In the bad old days, severed 'fingers' from the Znapfian bureau of torture would be DISCARDED in an abandoned 'cottage' just out of town. It became so infamous that the word DISCARD is now synonymous with the 'finger' 'cottage'.",707,捨,シャ,す・てる
,,8,"When someone KIDNAPS you, they hold a 'finger' to their 'mouth' and waggle a 'knife' suggestively (in a way, it's 'seduction' upside-down).",708,拐,カイ,
,,14,"To put a little rose in a grandaughter's cheeks, an extremely 'antique' lady PINCHES them with her 'fingers'. It's the 'antique' method of 'fingers' from the days before rouge.",709,摘,テキ,つ・む
,,9,Want to CHALLENGE a ninja 'turtle'? Just tap their shell with your 'finger'.,710,挑,チョウ,いど・む
,,9,The kanji for FINGER depicts a particularly 'delicious' example.,711,指,シ,ゆび　　さ・す
,,9,"A 'Buddhist temple' reaches out with its 'fingers', seizing an unbreakable HOLD on the land and its people. Just imagine the temple with massive fingers reaching out from under it, creeping across the world.",712,持,ジ,も・つ
,,9,The picture of IMMINENT has 'fingers' of a coming 'flood' creeping along unseen in the 'evening'.,713,拶,サツ,
,,9,The only way to be sure you won't say something stupid is to FASTEN your 'tongue' with your 'fingers'.,714,括,カツ,
,,12,A boastful general rides in on his 'chariot' to BRANDISH his weapon - a mere 'finger'!,715,揮,キ,
,,11,"Did I put my 'fingers' in the 'turkey'? It is sheer CONJECTURE, despite the stuffing all over my mouth.",716,推,スイ,お・す
,,12,"Not a heist, but rather a HOIST - tipping over the 'piggy bank' and fishing out coins with one's 'fingers'.",717,揚,ヨウ,あ・げる　　あ・がる
,,12,"When you PROPOSE, the most important thing is to have your 'fingers' 'just so' as you present the engagement ring. After all, nobody will be looking at anything else.",718,提,テイ,さ・げる
,,13,"If a boss lays a 'finger' on an 'employee', they risk making their company liable for DAMAGE.",719,損,ソン,そこ・なう　　そこ・ねる
,,9,"When you PICK UP your exhausted child, be sure to 'fit together' your 'fingers' with theirs to let them know everything will be fine.",720,拾,シュウ　　ジュウ,ひろ・う
,,8,The 'nightbreak' is only possible because a titan pulls the sun up over the horizon with their 'fingers' before SHOULDERING the burden throughout the day.,721,担,タン,かつ・ぐ　　にな・う
,,8,"To gain a FOOTHOLD on something, you must first 'dispose' your 'fingers' from it.",722,拠,キョ　　コ,
,,11,"When you go to SKETCH a beautiful landscape, all there is to your world is the 'flowers', the 'fields', and the 'fingers' holding the pencil.",723,描,ビョウ,えが・く　　か・く
,,16,"Check out the monkey's sneaky MANOEUVRE, seizing tourists' 'goods' with their sly 'fingers' and hauling them up a 'tree' for safekeeping.",724,操,ソウ,あやつ・る　　みさお
,,11,"To TOUCH something is put your 'fingers' on it delicately, as one might handle a 'vase' or a 'woman', or indeed a beautiful 'vase' -shaped 'woman', or a stately 'woman' -shaped 'vase'.",725,接,セツ,つ・ぐ
,,11,"In the Wild West, a tough-nut sheriff goes to PUT UP A NOTICE in the form of an outlaw's 'fingers' - a memorable warning to toe the line. Beneath the notice, a muchacho enjoys his 'siesta' unperturbed.",726,掲,ケイ,かか・げる
,,11,The kanji for HANG captures the last wish of a condemned man: that 'fingers' of 'ivy' conjured out of some 'magic wand' might lift him up and save his forfeit life.,727,掛,,か・ける　　か・かる　　かかり
,,10,Let your 'fingers' do the 'walking' as you MAKE HEADWAY through the Yellow Pages in search of something hard to find.,728,捗,チョク,
,,9,"To POLISH the ship's deck, take a 'stone' in 'two hands' and really get into it.",729,研,ケン,と・ぐ
,,7,"When Moses descended Sinai with the COMMANDMENTS, he held them up in 'two hands' and sparked an impromptu 'fiesta'. (note - the primitive for 'two hands' loses the top stroke when placed under another primitive)",730,戒,カイ,いまし・める
,,7,Taking a basket 'ball' in 'two hands' gives the impression you intend to TINKER WITH it rather than shoot with it.,731,弄,ロウ,もてあそ・ぶ
,,11,"Wizard of Oz style, a legendary trickster once fashioned a CONTRAPTION that would issue 'commandments' as if out of a 'tree', allowing him to control all the comings and goings of the wood peoples who revered it as a deity.",732,械,カイ,
,,14,"Imagine taking your 'two hands', reaching up inside someone's 'nostrils' and yanking out their 'brain'. That what this kanji depicts, which is the full character for NOSE.",733,鼻,ビ,はな
,,6,Losing a hand to a 'saber' is a popular means to PUNISH wrongdoers in certain quarters. Those refusing to accept their lot risk losing 'two hands'.,734,刑,ケイ,
,,9,The old wood people had a particularly cruel way to 'punish' those who wronged them: leaving them in the 'soil' to be slowly eaten by MOULD.,735,型,ケイ,かた
,,3,"Whatever one is particularly adept at is one's particular GENIUS - something we do so easily, we could manage it with one finger, as the saying goes. This kanji is distinct from the 'finger' primitive by the reverse sense of the third stroke. Also means *genie, or when on the left, *genie in the bottle.",736,才,サイ,
,,10,"If you want more PROPERTY, find a 'genie' and demand an abundance of 'clams' (money). Or perhaps the 'genie' is inside the 'clam' and became your PROPERTY by rubbing it.",737,財,ザイ　　サイr,
,,7,LUMBER is the gift of the 'tree' 'genie'.,738,材,ザイ,
,,6,,739,存,ソン　　ゾン,
,,6,,740,在,ザイ,あ・る
,,2,,741,乃,ナイ,の
,,13,,742,携,ケイ,たずさ・える　　たずさ・わる
,,3,,743,及,キュウ,およ・び　　およ・ぶ　　およ・ぼす
,,6,,744,吸,キュウ,す・う
,,6,,745,扱,,あつか・う
,,3,,746,丈,ジョウ,たけ
,,5,,747,史,シ,
,,6,,748,吏,リ,
,,7,,749,更,コウ,さら　　ふ・かす　　ふ・ける
,,12,,750,硬,コウ,かた・い
,,11,,751,梗,コウ,
,,2,,752,又,,また
,,4,,753,双,ソウ,ふた
,,10,,754,桑,ソウ,くわ
,,10,,755,隻,セキ,
,,20,,756,護,ゴ,
,,16,,757,獲,カク,え・る
,,5,,758,奴,ド,
,,9,,759,怒,ド,いか・る　　おこ・る
,,4,,760,友,ユウ,とも
,,7,,761,抜,バツ,ぬ・く　　ぬ・ける　　ぬ・かす　　ぬ・かる
,,7,,762,投,トウ,な・げる
,,7,,763,没,ボツ,
,,8,,764,股,コ,また
,,11,,765,設,セツ,もう・ける
,,15,,766,撃,ゲキ,う・つ
,,11,,767,殻,カク,から
,,4,,768,支,シ,ささ・える
,,7,,769,技,ギ,わざ
,,8,,770,枝,シ,えだ
,,8,,771,肢,シ,
,,8,,772,茎,ケイ,くき
,,8,,773,怪,カイ,あや・しい　　あや・しむ
,,12,,774,軽,ケイ,かる・い　　かろ・やか
,,8,,775,叔,シュク,
,,13,,776,督,トク,
,,11,,777,寂,ジャク　　セキr,さび・しい　　さび　　さび・れる
,,11,,778,淑,シュク,
,,4,,779,反,ハン　　ホン　　タンr,そ・らす　　そ・る
,,7,,780,坂,ハン,さか
,,8,,781,板,ハン　　バン,いた
,,6,,782,返,ヘン,かえ・す　　かえ・る
,,11,,783,販,ハン,
,,4,,784,爪,,つめ　　つまr
,,7,,785,妥,ダ,
,,8,,786,乳,ニュウ,ち　　ちち
,,10,,787,浮,フ,う・かぶ　　う・かべる　　う・かれる　　う・く
,,11,,788,淫,イン,みだ・ら
,,10,,789,将,ショウ,
,,13,,790,奨,ショウ,
,,8,,791,采,サイ,
,,11,,792,採,サイ,と・る
,,11,,793,菜,サイ,な
,,8,,794,受,ジュ,う・ける　　う・かる
,,11,,795,授,ジュ,さず・かる　　さず・ける
,,13,,796,愛,アイ,
,,nodata,,797,曖,アイ,
,,5,,798,払,フツ,はら・う
,,5,,799,広,コウ,ひろ・い　　ひろ・がる　　ひろ・げる　　ひろ・まる　　ひろ・める
,,nodata,,800,勾,コウ,
,,8,,801,拡,カク,
,,13,,802,鉱,コウ,
,,5,,803,弁,ベン,
,,7,,804,雄,ユウ,おす　　お
,,5,,805,台,ダイ　　タイ,
,,9,,806,怠,タイ,おこた・る　　なま・ける
,,8,,807,治,ジ　　チ,おさ・まる　　おさ・める　　なお・す　　なお・る
,,7,,808,冶,ヤ,
,,8,,809,始,シ,はじ・まる　　はじ・める
,,9,,810,胎,タイ,
,,11,,811,窓,ソウ,まど
,,5,,812,去,キョ　　コ,さ・る
,,8,,813,法,ホウ　　ハッ　　ホッr,
,,6,,814,会,カイ　　エ,あ・う
,,6,,815,至,シ,いた・る
,,9,,816,室,シツ,むろ
,,8,,817,到,トウ,
,,10,,818,致,チ,いた・す
,,4,,819,互,ゴ,たが・い
,,13,,820,棄,キ,
,,8,,821,育,イク,そだ・てる　　そだ・つ　　はぐく・む
,,15,,822,撤,テツ,
,,6,,823,充,ジュウ,あ・てる
,,14,,824,銃,ジュウ,
,,12,,825,硫,リュウ,
,,10,,826,流,リュウ　　ルr,なが・す　　なが・れる
,,4,,827,允,イン,
,,10,,828,唆,サ,そそのか・す
,,5,,829,出,シュツ　　スイr,だ・す　　で・る
,,3,,830,山,サン,やま
,,8,,831,拙,セツ,つたな・い
,,8,,832,岩,ガン,いわ
,,9,,833,炭,タン,すみ
,,7,,834,岐,キ,
,,nodata,,835,峠,,とうげ
,,11,,836,崩,ホウ,くず・す　　くず・れる
,,11,,837,密,ミツ,
,,14,,838,蜜,ミツ,
,,12,,839,嵐,,あらし
,,11,,840,崎,,さき
,,11,,841,崖,ガイ,がけ
,,2,,842,入,ニュウ,はい・る　　い・れる　　い・る
,,4,,843,込,,こ・む　　こ・める
,,4,,844,分,ブン　　フン　　ブ,わ・かる　　わ・ける　　わ・かれる　　わ・かつ
,,11,,845,貧,ヒン　　ビン,まず・しい
,,13,,846,頒,ハン,
,,4,,847,公,コウ,おおやけ
,,8,,848,松,ショウ,まつ
,,10,,849,翁,オウ,
,,11,,850,訟,ショウ,
,,7,,851,谷,コク,たに
,,10,,852,浴,ヨク,あ・びる　　あ・びせる
,,10,,853,容,ヨウ,
,,13,,854,溶,ヨウ,と・く　　と・ける　　と・かす
,,11,,855,欲,ヨク,ほ・しい　　ほっ・する
,,12,,856,裕,ユウ,
,,13,,857,鉛,エン,なまり
,,8,,858,沿,エン,そ・う
,,15,,859,賞,ショウ,
,,10,,860,党,トウ,
,,nodata,,861,堂,ドウ,
,,11,,862,常,ジョウ,つね　　とこ
,,14,,863,裳,ショウ,も
,,12,,864,掌,ショウ,
,,5,,865,皮,ヒ,かわ
,,8,,866,波,ハ,なみ
,,11,,867,婆,バ,
,,8,,868,披,ヒ,
,,10,,869,破,ハ,やぶ・る　　やぶ・れる
,,10,,870,被,ヒ,こうむ・る
,,10,,871,残,ザン,のこ・す　　のこ・る
,,10,,872,殉,ジュン,
,,10,,873,殊,シュ,こと
,,12,,874,殖,ショク,ふ・える　　ふ・やす
,,18,,875,列,レツ,
,,12,,876,裂,レツ,さ・く　　さ・ける
,,10,,877,烈,レツ,
,,6,,878,死,シ,し・ぬ
,,12,,879,葬,ソウ,ほうむ・る
,,18,,880,瞬,シュン,またた・く
,,6,,881,耳,ジ,みみ
,,8,,882,取,シュ,と・る
,,15,,883,趣,シュ,おもむき
,,12,,884,最,サイ,もっと・も
,,15,,885,撮,サツ,と・る
